trading_date,ticker,sector,vader_compound,finvader_compound,headline_count
2021-08-20,XOM,Energy,-0.24579999999999996,-0.18882000000000002,5
2021-08-23,ABBV,Healthcare,0.0,0.0,1
2021-08-23,ABT,Healthcare,-0.3182,-0.0103,1
2021-08-23,ADBE,Tech,0.0,0.3612,1
2021-08-23,AMD,Tech,0.0,0.3612,1
2021-08-23,CMCSA,Comm,0.128,-0.0065,1
2021-08-23,COP,Energy,-0.2732,-0.3612,1
2021-08-23,CVX,Energy,0.2313333333333333,0.19310833333333333,12
2021-08-23,DD,Materials,0.0,0.0194,1
2021-08-23,DIS,Consumer,0.01017499999999999,0.043387499999999996,8
2021-08-23,DOW,Materials,0.243,0.1277,3
2021-08-23,DUK,Utilities,-0.4019,-0.0219,1
2021-08-23,EA,Comm,0.0,-0.3612,1
2021-08-23,GE,Industrials,0.5173666666666666,0.3403333333333333,3
2021-08-23,GILD,Healthcare,0.0,0.0,1
2021-08-23,GS,Financials,0.28595,0.009649999999999999,2
2021-08-23,INTC,Tech,0.328,0.167775,4
2021-08-23,KO,Consumer,0.0,0.0045,2
2021-08-23,MMM,Industrials,0.0258,-0.3549,1
2021-08-23,MRK,Healthcare,0.20095,0.18385,2
2021-08-23,MS,Financials,0.07729999999999998,0.005999999999999999,3
2021-08-23,NEE,Utilities,-0.0593,-0.1256,3
2021-08-23,NEM,Materials,0.0,0.3695,1
2021-08-23,NKE,Consumer,0.0,0.012033333333333333,3
2021-08-23,NVDA,Tech,0.18792727272727275,0.11800909090909091,11
2021-08-23,OXY,Energy,0.168775,0.102575,4
2021-08-23,PLD,RealEstate,-0.1027,0.0,1
2021-08-23,SBUX,Consumer,-0.011499999999999996,-0.007175000000000001,4
2021-08-23,SHW,Materials,0.2023,0.0129,1
2021-08-23,SLB,Energy,0.08875,0.087125,4
2021-08-23,SO,Utilities,0.4404,0.4404,1
2021-08-23,T,Comm,0.205475,0.1592,4
2021-08-23,TMUS,Comm,0.07153333333333335,0.005166666666666666,3
2021-08-23,TTWO,Comm,0.6705,0.6124,1
2021-08-23,UPS,Industrials,0.1909,-0.11375000000000002,2
2021-08-23,USB,Financials,0.1806,0.01745,2
2021-08-23,V,Financials,0.08510000000000001,0.12009999999999998,3
2021-08-23,WFC,Financials,0.24344999999999997,0.014199999999999999,4
2021-08-23,WMT,Consumer,0.15837142857142858,0.05790000000000001,7
2021-08-23,XOM,Energy,0.2826181818181818,0.1826818181818182,11
2021-08-24,ABBV,Healthcare,0.37020000000000003,0.18735,2
2021-08-24,ABT,Healthcare,0.09866666666666667,-0.049966666666666666,3
2021-08-24,AMD,Tech,-0.1452,-0.0545,6
2021-08-24,CAT,Industrials,0.296,0.0,1
2021-08-24,CMCSA,Comm,0.0,0.0116,1
2021-08-24,COP,Energy,0.0,0.0026,1
2021-08-24,CVX,Energy,0.04936666666666667,0.08156666666666666,6
2021-08-24,DIS,Consumer,0.09532857142857143,0.05977142857142857,7
2021-08-24,DOW,Materials,0.0,0.0,1
2021-08-24,DUK,Utilities,-0.148,-0.15545,2
2021-08-24,EA,Comm,0.7717,0.3909,1
2021-08-24,GE,Industrials,0.6908,0.3632,1
2021-08-24,GS,Financials,0.19241666666666668,0.075,6
2021-08-24,INTC,Tech,0.14818571428571428,0.023785714285714292,7
2021-08-24,MMM,Industrials,0.17875000000000002,0.1152,2
2021-08-24,MS,Financials,0.0,0.0155,1
2021-08-24,NEE,Utilities,-0.011399999999999993,-0.16775,2
2021-08-24,NKE,Consumer,0.0,-0.00255,2
2021-08-24,NVDA,Tech,0.04571111111111111,0.14644444444444446,9
2021-08-24,O,RealEstate,0.296,0.0258,1
2021-08-24,OXY,Energy,0.148,0.28595,2
2021-08-24,SBUX,Consumer,0.0,0.0052,1
2021-08-24,SO,Utilities,-0.07293333333333334,-0.23616666666666666,3
